drug_name	ind_name	ind_id	NCT	status	phase	DetailedStatus	DrugCUI	DrugString
Lepirudin	Heparin-induced thrombocytopenia with thrombosis	C0272275		Approved			C0772394	Hirudin variant-1
Cetuximab	Squamous cell carcinoma of mouth	C0585362		Approved			C0995188	Cétuximab
Cetuximab	Squamous cell carcinoma of nose	C3163899		Approved			C0995188	Cétuximab
Cetuximab	Squamous cell carcinoma of pharynx	C1319317		Approved			C0995188	Cétuximab
Cetuximab	Laryngeal Squamous Cell Carcinoma	C0280324		Approved			C0995188	Cétuximab
Cetuximab	Malignant tumor of colon	C0007102		Approved			C0995188	Cétuximab
Dornase alfa	Cystic Fibrosis	C0010674		Approved			C1135662	Dornasa alfa
Denileukin diftitox	Lymphoma, T-Cell, Cutaneous	C0079773		Approved			C0717670	Interleukin-2/diptheria toxin fusion protein
Etanercept	Rheumatoid Arthritis	C0003873		Approved			C4291381	etanercept-szzs
Etanercept	Juvenile arthritis	C3495559		Approved			C4291381	etanercept-szzs
Etanercept	Arthritis, Psoriatic	C0003872		Approved			C4291381	etanercept-szzs
Etanercept	Ankylosing spondylitis	C0038013		Approved			C4291381	etanercept-szzs
Etanercept	Chronic small plaque psoriasis	C0406317		Approved			C4291381	etanercept-szzs
Leuprolide	Precocious Puberty	C0034013		Approved			C0085272	Leuprorelinum
Leuprolide	Endometriosis	C0014175		Approved			C0085272	Leuprorelinum
Peginterferon alfa-2a	Hepatitis C, Chronic	C0524910		Approved			C0391001	Pegylated interferon alpha-2a
Peginterferon alfa-2a	Hepatitis B, Chronic	C0524909		Approved			C0391001	Pegylated interferon alpha-2a
Alteplase	Ischemic stroke	C0948008		Approved			C0032143	Alteplasa
Alteplase	Acute myocardial infarction	C0155626		Approved			C0032143	Alteplasa
Alteplase	Pulmonary Embolism	C0034065		Approved			C0032143	Alteplasa
Sermorelin	Pituitary dwarfism	C0013338		Approved			C0142046	Sermorelin
Urokinase	Pulmonary Embolism	C0034065		Approved			C0042071	TCUK
Goserelin	Hormone receptor positive malignant neoplasm of breast	C1562029		Approved			C0120107	Goserelina
Goserelin	Endometriosis	C0014175		Approved			C0120107	Goserelina
Reteplase	Acute myocardial infarction	C0155626		Approved			C0256103	Reteplasa
Erythropoietin	Anemia in chronic kidney disease	C1561828		Approved			C0357126	Epoetina alfa
Erythropoietin	Anemia due to chemotherapy	C1998329		Approved			C0357126	Epoetina alfa
Salmon Calcitonin	Osteoporosis, Postmenopausal	C0029458		Approved			C0073994	Calcitonina salmón sintética
Salmon Calcitonin	Osteitis Deformans	C0029401		Approved			C0073994	Calcitonina salmón sintética
Pegfilgrastim	Chemotherapy-induced neutropenia	C1827687		Approved			C4735048	pegfilgrastim-cbqv
Sargramostim	Chemotherapy-induced neutropenia	C1827687		Approved			C0216231	Recombinant human granulocyte-macrophage colony stimulating factor
Peginterferon alfa-2b	Hepatitis C, Chronic	C0524910		Approved			C0796545	Peginterferon alfa-2b
Asparaginase	Acute lymphocytic leukemia	C0023449		Approved			C0003993	Colaspase
Anakinra	Rheumatoid Arthritis	C0003873		Approved			C0245109	IL-1RA
Anakinra	Cryopyrin-Associated Periodic Syndromes	C2316212		Approved			C0245109	IL-1RA
Anakinra	Chronic Infantile Neurological, Cutaneous, and Articular Syndrome	C0409818		Approved			C0245109	IL-1RA
Gramicidin D	Bacterial conjunctivitis	C0009768		Approved			C0018165	Gramicidina
Gramicidin D	Infective blepharitis	C0729587		Approved			C0018165	Gramicidina
Gramicidin D	Blepharoconjunctivitis	C0005743		Approved			C0018165	Gramicidina
Gramicidin D	Bacterial keratitis	C0854211		Approved			C0018165	Gramicidina
Insulin Human	Diabetes Mellitus, Insulin-Dependent	C0011854		Approved			C0795635	Insulina regular
Insulin Human	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			C0795635	Insulina regular
Insulin Human	Diabetes Mellitus	C0011849		Approved			C0795635	Insulina regular
Tenecteplase	Acute myocardial infarction	C0155626		Approved			C0872913	Tenecteplasa
Desmopressin	Hemophilia A	C0019069		Approved			C0011701	1-desamino-8-D-arginine vasopressin
Desmopressin	von Willebrand Disease	C0042974		Approved			C0011701	1-desamino-8-D-arginine vasopressin
Desmopressin	Bedwetting	C0270327		Approved			C0011701	1-desamino-8-D-arginine vasopressin
Coagulation factor VIIa Recombinant Human	Hemophilia A	C0019069		Approved			C0534191	rFVIIa
Coagulation factor VIIa Recombinant Human	Hemophilia B	C0008533		Approved			C0534191	rFVIIa
Coagulation factor VIIa Recombinant Human	Thrombasthenia	C0040015		Approved			C0534191	rFVIIa
Coagulation factor VIIa Recombinant Human	Factor VII Deficiency	C0015503		Approved			C0534191	rFVIIa
Oprelvekin	Thrombocytopenia	C0040034		Approved			C0537670	Recombinant interleukin-11
Palifermin	Mucositis following radiation therapy	C0392190		Approved			C0677829	Palifermina
Palifermin	Drug-induced mucositis	C1274988		Approved			C0677829	Palifermina
Glucagon recombinant	Hypoglycemia	C0020615		Approved			C0017687	Glucagon
Aldesleukin	Leukemia, Myelocytic, Acute	C0023467		Approved			C0218986	Aldesleukina
Aldesleukin	Metastatic Renal Cell Cancer	C0278678		Approved			C0218986	Aldesleukina
Aldesleukin	Malignant melanoma, metastatic	C0860594		Approved			C0218986	Aldesleukina
Omalizumab	Asthma	C0004096		Approved			C0966225	Omalizumab
Omalizumab	Chronic idiopathic urticaria	C0578870		Approved			C0966225	Omalizumab
Insulin Lispro	Diabetes Mellitus, Insulin-Dependent	C0011854		Approved			C0293359	Insulina lispro
Insulin Lispro	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			C0293359	Insulina lispro
Insulin Glargine	Diabetes Mellitus, Insulin-Dependent	C0011854		Approved			C0907402	Insulin glargine
Insulin Glargine	Diabetes Mellitus, Non-Insulin-Dependent	C0011860		Approved			C0907402	Insulin glargine
Collagenase clostridium histolyticum	Dupuytren's disease of finger, with contracture	C0410065		Approved			C0162745	Collagenase
Collagenase clostridium histolyticum	Peyronie Disease	C0030848		Approved			C0162745	Collagenase
Rasburicase	Hyperuricemia	C0740394		Approved			C0937932	Rasburicasa
Adalimumab	Rheumatoid Arthritis	C0003873		Approved			C5195654	adalimumab-bwwd
Adalimumab	Juvenile arthritis	C3495559		Approved			C5195654	adalimumab-bwwd
Adalimumab	Arthritis, Psoriatic	C0003872		Approved			C5195654	adalimumab-bwwd
Adalimumab	Ankylosing spondylitis	C0038013		Approved			C5195654	adalimumab-bwwd
Adalimumab	Crohn Disease	C0010346		Approved			C5195654	adalimumab-bwwd
Adalimumab	Ulcerative Colitis	C0009324		Approved			C5195654	adalimumab-bwwd
Adalimumab	Chronic small plaque psoriasis	C0406317		Approved			C5195654	adalimumab-bwwd
Adalimumab	Hidradenitis Suppurativa	C0162836		Approved			C5195654	adalimumab-bwwd
Somatropin recombinant	Growth retardation	C0151686		Approved			C0169964	Somatropina
Somatropin recombinant	Prader-Willi Syndrome	C0032897		Approved			C0169964	Somatropina
Somatropin recombinant	Pituitary dwarfism	C0013338		Approved			C0169964	Somatropina
Somatropin recombinant	Turner Syndrome	C0041408		Approved			C0169964	Somatropina
Imiglucerase	Gaucher Disease	C0017205		Approved			C0291140	Imiglucerasa
Gemtuzumab ozogamicin	Leukemia, Myelocytic, Acute	C0023467		Approved			C1533699	Gemtuzumab ozogamicin
Pegaspargase	Acute lymphocytic leukemia	C0023449		Approved			C0071568	Pegaspargasa
Interferon beta-1a	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			C0254119	Interferon-beta-1a
Eptifibatide	Acute Coronary Syndrome	C0948089		Approved			C0253563	Eptifibatida
Infliximab	Crohn Disease	C0010346		Approved			C4490035	Infliximab-abda
Infliximab	Ulcerative Colitis	C0009324		Approved			C4490035	Infliximab-abda
Infliximab	Rheumatoid Arthritis	C0003873		Approved			C4490035	Infliximab-abda
Infliximab	Ankylosing spondylitis	C0038013		Approved			C4490035	Infliximab-abda
Infliximab	Arthritis, Psoriatic	C0003872		Approved			C4490035	Infliximab-abda
Infliximab	Chronic small plaque psoriasis	C0406317		Approved			C4490035	Infliximab-abda
Vasopressin	Bedwetting	C0270327		Approved			C1705480	Vasopressina
Vasopressin	von Willebrand Disease	C0042974		Approved			C1705480	Vasopressina
